0,1,2,3,4,5,6,7,8,9
Daten für den gesamten Zeitraum MW 01-30/2021 sind ebenfalls unter,,,,,,,,,
www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/VOC_VOI_Tabelle.html abrufbar.,,,,,,,,,
MW,A.27,B.1.1.318,B.1.525,B.1.526,B.1.617.,B.1.620,C.36.3,C.36.3.1,C.37
2021,in %,in %,in %,in %,1 in %,in %,in %,in %,in %
21,"0,1","0,8","0,4","0,1",0,"0,1","0,4","0,3","0,1"
22,"0,1",1,"0,7",0,0,0,"0,5","0,8","0,4"
23,"0,1","0,9","0,9","0,1","0,1","0,1","1,2","0,2","0,1"
24,0,"0,7","0,9",0,0,0,1,"0,1","0,1"
25,"0,1","0,5","0,4",0,"0,3","0,6","1,9","0,1",0
26,0,0,"0,1",0,"0,1",0,"0,7",0,0
27,0,"0,5",0,0,0,0,"0,2",0,"0,1"
28,0,"0,2",0,0,0,"0,1","0,2",0,0
29,0,"0,1",0,0,0,"0,1","0,1",0,0
30,0,"0,3",0,0,0,0,0,0,0
01-30,"0,3","0,9","0,7",0,"0,1",0,"0,2","0,2","0,1"
